iteration;temperature;cost;result
113;5467.230000000004;6492.957358523681;["Lille" "Lyon" "Toulouse" "Limoges" "Caen" "Marseille" "Bordeaux" "Paris" "Besançon" "Rennes" "Ajaccio" "Strasbourg" "Lille"]
114;5466.940000000004;6293.081117678051;["Lille" "Lyon" "Toulouse" "Limoges" "Caen" "Marseille" "Bordeaux" "Besançon" "Paris" "Rennes" "Ajaccio" "Strasbourg" "Lille"]
115;5466.650000000004;6027.918456719537;["Lille" "Lyon" "Toulouse" "Limoges" "Bordeaux" "Marseille" "Caen" "Besançon" "Paris" "Rennes" "Ajaccio" "Strasbourg" "Lille"]
116;5466.360000000004;6313.610441553902;["Lille" "Lyon" "Toulouse" "Limoges" "Bordeaux" "Marseille" "Caen" "Besançon" "Paris" "Rennes" "Strasbourg" "Ajaccio" "Lille"]
117;5466.070000000004;6357.390246610403;["Lille" "Lyon" "Toulouse" "Limoges" "Bordeaux" "Marseille" "Caen" "Besançon" "Strasbourg" "Rennes" "Paris" "Ajaccio" "Lille"]
118;5465.780000000004;6619.434661316811;["Lille" "Toulouse" "Lyon" "Limoges" "Bordeaux" "Marseille" "Caen" "Besançon" "Strasbourg" "Rennes" "Paris" "Ajaccio" "Lille"]
119;5465.490000000004;6884.597322275325;["Lille" "Toulouse" "Lyon" "Limoges" "Caen" "Marseille" "Bordeaux" "Besançon" "Strasbourg" "Rennes" "Paris" "Ajaccio" "Lille"]
120;5465.200000000004;6786.803743447535;["Lille" "Toulouse" "Lyon" "Limoges" "Caen" "Marseille" "Bordeaux" "Besançon" "Strasbourg" "Rennes" "Ajaccio" "Paris" "Lille"]
121;5464.910000000004;6585.471940978917;["Lille" "Toulouse" "Marseille" "Limoges" "Caen" "Lyon" "Bordeaux" "Besançon" "Strasbourg" "Rennes" "Ajaccio" "Paris" "Lille"]
122;5464.620000000004;6134.808535064526;["Lille" "Toulouse" "Marseille" "Limoges" "Caen" "Bordeaux" "Lyon" "Besançon" "Strasbourg" "Rennes" "Ajaccio" "Paris" "Lille"]
123;5464.3300000000045;5828.169607326615;["Lille" "Rennes" "Marseille" "Limoges" "Caen" "Bordeaux" "Lyon" "Besançon" "Strasbourg" "Toulouse" "Ajaccio" "Paris" "Lille"]
124;5464.0400000000045;5826.619367030552;["Lille" "Rennes" "Marseille" "Limoges" "Caen" "Bordeaux" "Lyon" "Strasbourg" "Besançon" "Toulouse" "Ajaccio" "Paris" "Lille"]
125;5463.750000000005;6309.6964094181485;["Lille" "Rennes" "Marseille" "Strasbourg" "Caen" "Bordeaux" "Lyon" "Limoges" "Besançon" "Toulouse" "Ajaccio" "Paris" "Lille"]
126;5463.460000000005;7132.674907745625;["Lille" "Rennes" "Marseille" "Strasbourg" "Caen" "Bordeaux" "Lyon" "Limoges" "Besançon" "Toulouse" "Paris" "Ajaccio" "Lille"]
127;5463.170000000005;6918.659986352608;["Lille" "Rennes" "Lyon" "Strasbourg" "Caen" "Bordeaux" "Marseille" "Limoges" "Besançon" "Toulouse" "Paris" "Ajaccio" "Lille"]
128;5462.880000000005;7364.5146955078235;["Lille" "Rennes" "Lyon" "Strasbourg" "Bordeaux" "Caen" "Marseille" "Limoges" "Besançon" "Toulouse" "Paris" "Ajaccio" "Lille"]
129;5462.590000000005;6971.142425429252;["Lille" "Rennes" "Lyon" "Strasbourg" "Marseille" "Caen" "Bordeaux" "Limoges" "Besançon" "Toulouse" "Paris" "Ajaccio" "Lille"]
130;5462.300000000005;6148.163927101776;["Lille" "Rennes" "Lyon" "Strasbourg" "Marseille" "Caen" "Bordeaux" "Limoges" "Besançon" "Toulouse" "Ajaccio" "Paris" "Lille"]
131;5462.010000000005;6601.6401262630825;["Lille" "Rennes" "Lyon" "Strasbourg" "Marseille" "Caen" "Toulouse" "Limoges" "Besançon" "Bordeaux" "Ajaccio" "Paris" "Lille"]
132;5461.720000000005;7031.165410363043;["Lille" "Lyon" "Rennes" "Strasbourg" "Marseille" "Caen" "Toulouse" "Limoges" "Besançon" "Bordeaux" "Ajaccio" "Paris" "Lille"]
133;5461.430000000005;6248.712971733791;["Lille" "Lyon" "Rennes" "Strasbourg" "Paris" "Caen" "Toulouse" "Limoges" "Besançon" "Bordeaux" "Ajaccio" "Marseille" "Lille"]
134;5461.140000000005;6253.883895301403;["Lille" "Lyon" "Rennes" "Paris" "Strasbourg" "Caen" "Toulouse" "Limoges" "Besançon" "Bordeaux" "Ajaccio" "Marseille" "Lille"]
